time,pd_error,lqr_error,hybrid_error,pd_tau,lqr_tau,hybrid_tau
9.86,9.627931083465768,10.133163208929869,13.435439177423026,0.001284466179002099,0.4330127018922193,0.4329992766008213
9.88,9.623257946681608,10.12559473923752,13.427554307122037,0.0024628041530178543,0.4330127018922193,0.4330127018922193
9.9,9.620053973748012,10.118023678534419,13.419676305926892,0.0032500448453814273,0.4330127018922193,0.4329988103377931
9.92,9.61655741413733,10.110450862226267,13.411796684977087,0.0031363089719709547,0.4330127018922193,0.4330127018922193
9.94,9.611415851827676,10.102875515742229,13.403924030448149,0.001992917139114513,0.4330127018922193,0.4329993290768187
9.96,9.608947131358562,10.095298323064874,13.396049680200138,0.005622007332075333,0.4330127018922193,0.4330127018922193
9.98,9.606534928367925,10.087718662920837,13.38818248634253,0.005685424476583755,0.4330127018922193,0.43299929531201875
10.0,9.603982318726459,10.080137067575274,13.380313613682514,0.005950524797209941,0.4330127018922193,0.4330127018922193
10.02,9.602261101605444,10.072553069360275,13.372452033236451,0.003919364964318988,0.4330127018922193,0.43299960264193593
10.040000000000001,9.601560166163637,10.064967048528334,13.364588736355588,0.005693601028622364,0.4330127018922193,0.4330127018922193
10.06,9.602391692775981,10.057378691325798,13.356733041314902,0.004208829103100481,0.4330127018922193,0.4329988739975291
10.08,9.599844958772689,10.04978822569615,13.348875766181427,0.0035271581416455584,0.4330127018922193,0.4330127018922193
10.1,9.596081565209788,10.042195492110482,13.341026188908371,0.0016113183855790737,0.4330127018922193,0.4329994512352268
10.120000000000001,9.59349853339466,10.034600565903459,13.33317495308622,0.0024527800084713424,0.4330127018922193,0.4330127018922193
10.14,9.590654239647249,10.027003442086759,13.325331552411892,0.001917346471732399,0.4330127018922193,0.43299978824417634
10.16,9.587964937085934,10.019404043083098,13.317486456213489,0.002315307395416585,0.4330127018922193,0.4330127018922193
10.18,9.58559813419491,10.011802518761161,13.309649411390609,0.002427903393831692,0.4330127018922193,0.43299966329118
10.200000000000001,9.584273918675382,10.004198638327848,13.301810713086248,0.003280026872874662,0.4330127018922193,0.4330127018922193
10.22,9.581618468779235,9.996592706827748,13.29398028234548,0.0058373048994735475,0.4330127018922193,0.43299955425192893
10.24,9.575182335136041,9.988984339945306,13.28614823971386,0.002246353355671726,0.4330127018922193,0.4330127018922193
10.26,9.568445436488778,9.981373998222995,13.278324721697688,0.003093304381946321,0.4330127018922193,0.4329992176728464
10.28,9.561075335020611,9.97376114351279,13.270499673909576,0.001814163634348094,0.4330127018922193,0.4330127018922193
10.3,9.553467297704982,9.966146392180562,13.262683219599168,0.002139735912110064,0.4330127018922193,0.4330000164304941
10.32,9.546995198498195,9.958529051934148,13.254865128553156,0.001074597517967553,0.4330127018922193,0.4330127018922193
10.34,9.53954929479862,9.950909895288104,13.247055806682893,0.0029950909006539947,0.4330127018922193,0.4330001867641503
10.36,9.53387374653548,9.943288075493097,13.238577392207436,0.006197036133020936,0.4330127018922193,0.4290954979166442
10.38,9.528831260661804,9.935664521542684,13.229438348895455,0.004914796460180928,0.4330127018922193,0.43299537920327813
10.4,9.523127779894171,9.928038231912572,13.220298289631573,0.003291759494629575,0.4330127018922193,0.4330127018922193
10.42,9.519587890878096,9.920410292408365,13.211164801522987,0.0013028050190742823,0.4330127018922193,0.4329948548808462
10.44,9.517194481375563,9.91277954641149,13.20203035368175,0.002420094609259795,0.4330127018922193,0.4330127018922193
10.46,9.513397168037782,9.9051472368739,13.192902650364225,0.004134881416114594,0.4330127018922193,0.43299466498159966
10.48,9.507015838371442,9.89751205176186,13.183773988960297,0.0007424829236750062,0.4330127018922193,0.4330127018922193
10.5,9.501489485223116,9.889875391510715,13.174652172548829,0.002317187511652295,0.4330127018922193,0.43299492090531166
10.52,9.495890807510305,9.882235788347813,13.165529326581888,0.002470768962311644,0.4330127018922193,0.4330127018922193
10.540000000000001,9.490602443840425,9.87459480053245,13.156413458800264,0.0033379166573401244,0.4330127018922193,0.4329949961770493
10.56,9.486200830717186,9.866950804226075,13.14729652260027,0.0025398900087690735,0.4330127018922193,0.4330127018922193
